,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,word,frequency,country,theme,perc_freq,cluster
100,100,100,100,100,hit,53,South Africa,violence,0.00200620788856083,"South Africa, violence"
106,106,106,106,106,minister,51,South Africa,empowerment,0.0019305019305019305,"South Africa, empowerment"
108,108,108,108,108,stab,51,South Africa,violence,0.0019305019305019305,"South Africa, violence"
109,109,109,109,109,break,50,South Africa,violence,0.001892648951472481,"South Africa, violence"
111,111,111,111,111,abuse,49,South Africa,violence,0.0018547959724430313,"South Africa, violence"
112,112,112,112,112,bail,49,South Africa,violence,0.0018547959724430313,"South Africa, violence"
116,116,116,116,116,alleged,48,South Africa,violence,0.0018169429934135816,"South Africa, violence"
118,118,118,118,118,attack,47,South Africa,violence,0.001779090014384132,"South Africa, violence"
119,119,119,119,119,report,46,South Africa,violence,0.0017412370353546824,"South Africa, violence"
120,120,120,120,120,dead,46,South Africa,violence,0.0017412370353546824,"South Africa, violence"
123,123,123,123,123,jail,45,South Africa,violence,0.0017033840563252327,"South Africa, violence"
126,126,126,126,126,beat,44,South Africa,violence,0.001665531077295783,"South Africa, violence"
130,130,130,130,130,protest,43,South Africa,empowerment,0.0016276780982663335,"South Africa, empowerment"
136,136,136,136,136,head,42,South Africa,male,0.001589825119236884,"South Africa, male"
139,139,139,139,139,sex,42,South Africa,female,0.001589825119236884,"South Africa, female"
141,141,141,141,141,son,42,South Africa,male,0.001589825119236884,"South Africa, male"
142,142,142,142,142,fire,42,South Africa,violence,0.001589825119236884,"South Africa, violence"
144,144,144,144,144,save,41,South Africa,male,0.0015519721402074344,"South Africa, male"
148,148,148,148,148,ex,40,South Africa,female,0.0015141191611779848,"South Africa, female"
151,151,151,151,151,wife,39,South Africa,female,0.0014762661821485351,"South Africa, female"
154,154,154,154,154,award,39,South Africa,empowerment,0.0014762661821485351,"South Africa, empowerment"
155,155,155,155,155,domestic,39,South Africa,female,0.0014762661821485351,"South Africa, female"
156,156,156,156,156,daughter,38,South Africa,female,0.0014384132031190855,"South Africa, female"
159,159,159,159,159,fall,37,South Africa,violence,0.0014005602240896359,"South Africa, violence"
170,170,170,170,170,assault,36,South Africa,violence,0.0013627072450601862,"South Africa, violence"
172,172,172,172,172,battle,35,South Africa,male,0.0013248542660307366,"South Africa, male"
173,173,173,173,173,activist,35,South Africa,empowerment,0.0013248542660307366,"South Africa, empowerment"
178,178,178,178,178,appoint,35,South Africa,empowerment,0.0013248542660307366,"South Africa, empowerment"
179,179,179,179,179,power,34,South Africa,male,0.001287001287001287,"South Africa, male"
180,180,180,180,180,kid,34,South Africa,female,0.001287001287001287,"South Africa, female"
183,183,183,183,183,run,34,South Africa,violence,0.001287001287001287,"South Africa, violence"
185,185,185,185,185,victim,34,South Africa,female,0.001287001287001287,"South Africa, female"
192,192,192,192,192,star,33,South Africa,empowerment,0.0012491483079718373,"South Africa, empowerment"
195,195,195,195,195,question,33,South Africa,female,0.0012491483079718373,"South Africa, female"
197,197,197,197,197,force,32,South Africa,male,0.0012112953289423877,"South Africa, male"
198,198,198,198,198,boy,32,South Africa,male,0.0012112953289423877,"South Africa, male"
202,202,202,202,202,justice,32,South Africa,violence,0.0012112953289423877,"South Africa, violence"
203,203,203,203,203,gun,32,South Africa,violence,0.0012112953289423877,"South Africa, violence"
209,209,209,209,209,fear,31,South Africa,female,0.001173442349912938,"South Africa, female"
211,211,211,211,211,sexual,31,South Africa,female,0.001173442349912938,"South Africa, female"
213,213,213,213,213,steal,30,South Africa,violence,0.0011355893708834886,"South Africa, violence"
215,215,215,215,215,judge,30,South Africa,violence,0.0011355893708834886,"South Africa, violence"
219,219,219,219,219,pregnant,30,South Africa,female,0.0011355893708834886,"South Africa, female"
221,221,221,221,221,alcohol,29,South Africa,violence,0.001097736391854039,"South Africa, violence"
222,222,222,222,222,kidnap,29,South Africa,violence,0.001097736391854039,"South Africa, violence"
223,223,223,223,223,officer,29,South Africa,empowerment,0.001097736391854039,"South Africa, empowerment"
224,224,224,224,224,leader,29,South Africa,empowerment,0.001097736391854039,"South Africa, empowerment"
227,227,227,227,227,law,29,South Africa,violence,0.001097736391854039,"South Africa, violence"
228,228,228,228,228,girlfriend,29,South Africa,female,0.001097736391854039,"South Africa, female"
230,230,230,230,230,rapist,28,South Africa,violence,0.0010598834128245894,"South Africa, violence"
234,234,234,234,234,father,28,South Africa,male,0.0010598834128245894,"South Africa, male"
236,236,236,236,236,corruption,27,South Africa,violence,0.0010220304337951397,"South Africa, violence"
237,237,237,237,237,dream,27,South Africa,empowerment,0.0010220304337951397,"South Africa, empowerment"
239,239,239,239,239,guilty,27,South Africa,violence,0.0010220304337951397,"South Africa, violence"
242,242,242,242,242,fail,27,South Africa,female,0.0010220304337951397,"South Africa, female"
254,254,254,254,254,plead,26,South Africa,violence,0.00098417745476569,"South Africa, violence"
256,256,256,256,256,crime,26,South Africa,violence,0.00098417745476569,"South Africa, violence"
258,258,258,258,258,hospital,26,South Africa,violence,0.00098417745476569,"South Africa, violence"
259,259,259,259,259,burn,26,South Africa,violence,0.00098417745476569,"South Africa, violence"
281,281,281,281,281,boss,24,South Africa,empowerment,0.0009084714967067908,"South Africa, empowerment"
295,295,295,295,295,slam,23,South Africa,violence,0.0008706185176773412,"South Africa, violence"
296,296,296,296,296,killer,23,South Africa,violence,0.0008706185176773412,"South Africa, violence"
301,301,301,301,301,owner,22,South Africa,empowerment,0.0008327655386478915,"South Africa, empowerment"
306,306,306,306,306,fraud,22,South Africa,violence,0.0008327655386478915,"South Africa, violence"
310,310,310,310,310,queen,22,South Africa,female,0.0008327655386478915,"South Africa, female"
325,325,325,325,325,education,21,South Africa,empowerment,0.000794912559618442,"South Africa, empowerment"
326,326,326,326,326,rise,21,South Africa,empowerment,0.000794912559618442,"South Africa, empowerment"
330,330,330,330,330,empower,21,South Africa,empowerment,0.000794912559618442,"South Africa, empowerment"
335,335,335,335,335,parent,20,South Africa,empowerment,0.0007570595805889924,"South Africa, empowerment"
342,342,342,342,342,dress,20,South Africa,female,0.0007570595805889924,"South Africa, female"
343,343,343,343,343,artist,20,South Africa,empowerment,0.0007570595805889924,"South Africa, empowerment"
348,348,348,348,348,dad,20,South Africa,male,0.0007570595805889924,"South Africa, male"
349,349,349,349,349,escape,20,South Africa,violence,0.0007570595805889924,"South Africa, violence"
365,365,365,365,365,actress,19,South Africa,female,0.0007192066015595428,"South Africa, female"
367,367,367,367,367,entrepreneur,19,South Africa,empowerment,0.0007192066015595428,"South Africa, empowerment"
371,371,371,371,371,lawyer,19,South Africa,empowerment,0.0007192066015595428,"South Africa, empowerment"
372,372,372,372,372,kidnapping,19,South Africa,violence,0.0007192066015595428,"South Africa, violence"
377,377,377,377,377,nurse,18,South Africa,female,0.0006813536225300931,"South Africa, female"
386,386,386,386,386,deputy,18,South Africa,empowerment,0.0006813536225300931,"South Africa, empowerment"
387,387,387,387,387,survive,18,South Africa,empowerment,0.0006813536225300931,"South Africa, empowerment"
409,409,409,409,409,voice,18,South Africa,empowerment,0.0006813536225300931,"South Africa, empowerment"
424,424,424,424,424,shooting,17,South Africa,violence,0.0006435006435006435,"South Africa, violence"
427,427,427,427,427,hair,17,South Africa,female,0.0006435006435006435,"South Africa, female"
431,431,431,431,431,care,17,South Africa,female,0.0006435006435006435,"South Africa, female"
440,440,440,440,440,leadership,17,South Africa,empowerment,0.0006435006435006435,"South Africa, empowerment"
442,442,442,442,442,sister,17,South Africa,female,0.0006435006435006435,"South Africa, female"
446,446,446,446,446,male,17,South Africa,male,0.0006435006435006435,"South Africa, male"
447,447,447,447,447,trial,17,South Africa,violence,0.0006435006435006435,"South Africa, violence"
449,449,449,449,449,war,17,South Africa,violence,0.0006435006435006435,"South Africa, violence"
450,450,450,450,450,worth,16,South Africa,empowerment,0.0006056476644711938,"South Africa, empowerment"
453,453,453,453,453,defend,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
456,456,456,456,456,allegation,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
458,458,458,458,458,drug,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
461,461,461,461,461,injure,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
465,465,465,465,465,lie,16,South Africa,female,0.0006056476644711938,"South Africa, female"
472,472,472,472,472,inspire,16,South Africa,empowerment,0.0006056476644711938,"South Africa, empowerment"
482,482,482,482,482,prince,16,South Africa,male,0.0006056476644711938,"South Africa, male"
483,483,483,483,483,convict,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
484,484,484,484,484,threaten,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
488,488,488,488,488,wound,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
490,490,490,490,490,doctor,16,South Africa,empowerment,0.0006056476644711938,"South Africa, empowerment"
492,492,492,492,492,gang,16,South Africa,violence,0.0006056476644711938,"South Africa, violence"
504,504,504,504,504,strong,16,South Africa,male,0.0006056476644711938,"South Africa, male"
508,508,508,508,508,racism,15,South Africa,violence,0.0005677946854417443,"South Africa, violence"
513,513,513,513,513,graduate,15,South Africa,empowerment,0.0005677946854417443,"South Africa, empowerment"
519,519,519,519,519,killing,15,South Africa,violence,0.0005677946854417443,"South Africa, violence"
523,523,523,523,523,marriage,15,South Africa,female,0.0005677946854417443,"South Africa, female"
529,529,529,529,529,affair,15,South Africa,female,0.0005677946854417443,"South Africa, female"
532,532,532,532,532,allege,15,South Africa,violence,0.0005677946854417443,"South Africa, violence"
534,534,534,534,534,criminal,15,South Africa,violence,0.0005677946854417443,"South Africa, violence"
535,535,535,535,535,employee,15,South Africa,empowerment,0.0005677946854417443,"South Africa, empowerment"
538,538,538,538,538,couple,15,South Africa,female,0.0005677946854417443,"South Africa, female"
539,539,539,539,539,master,15,South Africa,male,0.0005677946854417443,"South Africa, male"
542,542,542,542,542,robbery,15,South Africa,violence,0.0005677946854417443,"South Africa, violence"
543,543,543,543,543,career,15,South Africa,empowerment,0.0005677946854417443,"South Africa, empowerment"
549,549,549,549,549,chief,14,South Africa,empowerment,0.0005299417064122947,"South Africa, empowerment"
551,551,551,551,551,mayor,14,South Africa,empowerment,0.0005299417064122947,"South Africa, empowerment"
572,572,572,572,572,dance,14,South Africa,female,0.0005299417064122947,"South Africa, female"
578,578,578,578,578,pregnancy,14,South Africa,female,0.0005299417064122947,"South Africa, female"
579,579,579,579,579,director,14,South Africa,empowerment,0.0005299417064122947,"South Africa, empowerment"
583,583,583,583,583,racist,14,South Africa,violence,0.0005299417064122947,"South Africa, violence"
586,586,586,586,586,survivor,14,South Africa,empowerment,0.0005299417064122947,"South Africa, empowerment"
593,593,593,593,593,struggle,13,South Africa,female,0.000492088727382845,"South Africa, female"
597,597,597,597,597,security,13,South Africa,violence,0.000492088727382845,"South Africa, violence"
601,601,601,601,601,beauty,13,South Africa,female,0.000492088727382845,"South Africa, female"
613,613,613,613,613,risk,13,South Africa,violence,0.000492088727382845,"South Africa, violence"
623,623,623,623,623,teenage,13,South Africa,female,0.000492088727382845,"South Africa, female"
627,627,627,627,627,breast,13,South Africa,female,0.000492088727382845,"South Africa, female"
645,645,645,645,645,divorce,12,South Africa,female,0.0004542357483533954,"South Africa, female"
670,670,670,670,670,king,12,South Africa,male,0.0004542357483533954,"South Africa, male"
671,671,671,671,671,winner,12,South Africa,empowerment,0.0004542357483533954,"South Africa, empowerment"
705,705,705,705,705,drown,11,South Africa,violence,0.0004163827693239458,"South Africa, violence"
706,706,706,706,706,hero,11,South Africa,male,0.0004163827693239458,"South Africa, male"
714,714,714,714,714,sexually,11,South Africa,female,0.0004163827693239458,"South Africa, female"
728,728,728,728,728,expert,11,South Africa,empowerment,0.0004163827693239458,"South Africa, empowerment"
738,738,738,738,738,scientist,11,South Africa,empowerment,0.0004163827693239458,"South Africa, empowerment"
744,744,744,744,744,birth,11,South Africa,female,0.0004163827693239458,"South Africa, female"
751,751,751,751,751,suicide,11,South Africa,violence,0.0004163827693239458,"South Africa, violence"
756,756,756,756,756,feel,11,South Africa,female,0.0004163827693239458,"South Africa, female"
761,761,761,761,761,success,11,South Africa,empowerment,0.0004163827693239458,"South Africa, empowerment"
768,768,768,768,768,hate,10,South Africa,violence,0.0003785297902944962,"South Africa, violence"
788,788,788,788,788,naked,10,South Africa,female,0.0003785297902944962,"South Africa, female"
807,807,807,807,807,single,10,South Africa,female,0.0003785297902944962,"South Africa, female"
835,835,835,835,835,ms,10,South Africa,female,0.0003785297902944962,"South Africa, female"
849,849,849,849,849,tender,10,South Africa,female,0.0003785297902944962,"South Africa, female"
851,851,851,851,851,marry,10,South Africa,female,0.0003785297902944962,"South Africa, female"
866,866,866,866,866,date,9,South Africa,female,0.00034067681126504656,"South Africa, female"
870,870,870,870,870,protester,9,South Africa,empowerment,0.00034067681126504656,"South Africa, empowerment"
874,874,874,874,874,lover,9,South Africa,female,0.00034067681126504656,"South Africa, female"
881,881,881,881,881,weight,9,South Africa,female,0.00034067681126504656,"South Africa, female"
893,893,893,893,893,robber,9,South Africa,violence,0.00034067681126504656,"South Africa, violence"
903,903,903,903,903,equality,9,South Africa,empowerment,0.00034067681126504656,"South Africa, empowerment"
930,930,930,930,930,rob,9,South Africa,violence,0.00034067681126504656,"South Africa, violence"
963,963,963,963,963,prison,8,South Africa,violence,0.0003028238322355969,"South Africa, violence"
973,973,973,973,973,virgin,8,South Africa,female,0.0003028238322355969,"South Africa, female"
1010,1010,1010,1010,1010,perfect,8,South Africa,empowerment,0.0003028238322355969,"South Africa, empowerment"
1024,1024,1024,1024,1024,emotional,8,South Africa,female,0.0003028238322355969,"South Africa, female"
1027,1027,1027,1027,1027,outrage,8,South Africa,violence,0.0003028238322355969,"South Africa, violence"
1040,1040,1040,1040,1040,injury,8,South Africa,violence,0.0003028238322355969,"South Africa, violence"
1049,1049,1049,1049,1049,abortion,8,South Africa,empowerment,0.0003028238322355969,"South Africa, empowerment"
1056,1056,1056,1056,1056,beautiful,8,South Africa,female,0.0003028238322355969,"South Africa, female"
1058,1058,1058,1058,1058,newborn,8,South Africa,female,0.0003028238322355969,"South Africa, female"
1069,1069,1069,1069,1069,active,8,South Africa,male,0.0003028238322355969,"South Africa, male"
1077,1077,1077,1077,1077,theft,8,South Africa,violence,0.0003028238322355969,"South Africa, violence"
1089,1089,1089,1089,1089,cheat,7,South Africa,female,0.00026497085320614734,"South Africa, female"
1095,1095,1095,1095,1095,crash,7,South Africa,violence,0.00026497085320614734,"South Africa, violence"
1098,1098,1098,1098,1098,author,7,South Africa,empowerment,0.00026497085320614734,"South Africa, empowerment"
1179,1179,1179,1179,1179,married,7,South Africa,female,0.00026497085320614734,"South Africa, female"
1198,1198,1198,1198,1198,brutally,7,South Africa,violence,0.00026497085320614734,"South Africa, violence"
1200,1200,1200,1200,1200,businesswoman,7,South Africa,empowerment,0.00026497085320614734,"South Africa, empowerment"
1235,1235,1235,1235,1235,manager,7,South Africa,empowerment,0.00026497085320614734,"South Africa, empowerment"
1236,1236,1236,1236,1236,mrs,7,South Africa,female,0.00026497085320614734,"South Africa, female"
1251,1251,1251,1251,1251,mum,7,South Africa,female,0.00026497085320614734,"South Africa, female"
1281,1281,1281,1281,1281,wealth,6,South Africa,empowerment,0.0002271178741766977,"South Africa, empowerment"
1311,1311,1311,1311,1311,actor,6,South Africa,empowerment,0.0002271178741766977,"South Africa, empowerment"
1313,1313,1313,1313,1313,illegal,6,South Africa,violence,0.0002271178741766977,"South Africa, violence"
1329,1329,1329,1329,1329,widow,6,South Africa,female,0.0002271178741766977,"South Africa, female"
1348,1348,1348,1348,1348,cry,6,South Africa,female,0.0002271178741766977,"South Africa, female"
1379,1379,1379,1379,1379,deadly,6,South Africa,violence,0.0002271178741766977,"South Africa, violence"
1406,1406,1406,1406,1406,smart,6,South Africa,empowerment,0.0002271178741766977,"South Africa, empowerment"
1408,1408,1408,1408,1408,grandmother,6,South Africa,female,0.0002271178741766977,"South Africa, female"
1429,1429,1429,1429,1429,independent,6,South Africa,male,0.0002271178741766977,"South Africa, male"
1433,1433,1433,1433,1433,model,6,South Africa,female,0.0002271178741766977,"South Africa, female"
1436,1436,1436,1436,1436,shopping,6,South Africa,female,0.0002271178741766977,"South Africa, female"
1465,1465,1465,1465,1465,violent,6,South Africa,violence,0.0002271178741766977,"South Africa, violence"
1474,1474,1474,1474,1474,employment,6,South Africa,empowerment,0.0002271178741766977,"South Africa, empowerment"
1487,1487,1487,1487,1487,suffer,6,South Africa,violence,0.0002271178741766977,"South Africa, violence"
1556,1556,1556,1556,1556,blood,5,South Africa,violence,0.0001892648951472481,"South Africa, violence"
1562,1562,1562,1562,1562,grandfather,5,South Africa,male,0.0001892648951472481,"South Africa, male"
1564,1564,1564,1564,1564,passion,5,South Africa,empowerment,0.0001892648951472481,"South Africa, empowerment"
1565,1565,1565,1565,1565,brother,5,South Africa,male,0.0001892648951472481,"South Africa, male"
1569,1569,1569,1569,1569,wedding,5,South Africa,female,0.0001892648951472481,"South Africa, female"
1633,1633,1633,1633,1633,murderer,5,South Africa,violence,0.0001892648951472481,"South Africa, violence"
1659,1659,1659,1659,1659,madam,5,South Africa,female,0.0001892648951472481,"South Africa, female"
1666,1666,1666,1666,1666,equal,5,South Africa,empowerment,0.0001892648951472481,"South Africa, empowerment"
1676,1676,1676,1676,1676,champion,5,South Africa,male,0.0001892648951472481,"South Africa, male"
1717,1717,1717,1717,1717,harassment,5,South Africa,violence,0.0001892648951472481,"South Africa, violence"
1766,1766,1766,1766,1766,relationship,5,South Africa,female,0.0001892648951472481,"South Africa, female"
1785,1785,1785,1785,1785,granddaughter,4,South Africa,female,0.00015141191611779846,"South Africa, female"
1795,1795,1795,1795,1795,abduction,4,South Africa,violence,0.00015141191611779846,"South Africa, violence"
1803,1803,1803,1803,1803,courage,4,South Africa,empowerment,0.00015141191611779846,"South Africa, empowerment"
1845,1845,1845,1845,1845,niece,4,South Africa,female,0.00015141191611779846,"South Africa, female"
1953,1953,1953,1953,1953,breakthrough,4,South Africa,empowerment,0.00015141191611779846,"South Africa, empowerment"
2035,2035,2035,2035,2035,bride,4,South Africa,female,0.00015141191611779846,"South Africa, female"
2087,2087,2087,2087,2087,achievement,4,South Africa,empowerment,0.00015141191611779846,"South Africa, empowerment"
2176,2176,2176,2176,2176,princess,4,South Africa,female,0.00015141191611779846,"South Africa, female"
2179,2179,2179,2179,2179,founder,4,South Africa,empowerment,0.00015141191611779846,"South Africa, empowerment"
2193,2193,2193,2193,2193,god,4,South Africa,male,0.00015141191611779846,"South Africa, male"
2235,2235,2235,2235,2235,inspirational,4,South Africa,empowerment,0.00015141191611779846,"South Africa, empowerment"
2240,2240,2240,2240,2240,successful,4,South Africa,empowerment,0.00015141191611779846,"South Africa, empowerment"
2278,2278,2278,2278,2278,strength,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2295,2295,2295,2295,2295,afraid,3,South Africa,female,0.00011355893708834885,"South Africa, female"
2383,2383,2383,2383,2383,confidence,3,South Africa,empowerment,0.00011355893708834885,"South Africa, empowerment"
2441,2441,2441,2441,2441,harass,3,South Africa,violence,0.00011355893708834885,"South Africa, violence"
2467,2467,2467,2467,2467,dominate,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2488,2488,2488,2488,2488,chairperson,3,South Africa,empowerment,0.00011355893708834885,"South Africa, empowerment"
2492,2492,2492,2492,2492,fearless,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2501,2501,2501,2501,2501,chairman,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2530,2530,2530,2530,2530,guy,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2750,2750,2750,2750,2750,shop,3,South Africa,female,0.00011355893708834885,"South Africa, female"
2754,2754,2754,2754,2754,kind,3,South Africa,female,0.00011355893708834885,"South Africa, female"
2761,2761,2761,2761,2761,confident,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2765,2765,2765,2765,2765,kiss,3,South Africa,female,0.00011355893708834885,"South Africa, female"
2793,2793,2793,2793,2793,cook,3,South Africa,female,0.00011355893708834885,"South Africa, female"
2863,2863,2863,2863,2863,athlete,3,South Africa,male,0.00011355893708834885,"South Africa, male"
2914,2914,2914,2914,2914,weak,3,South Africa,female,0.00011355893708834885,"South Africa, female"
2955,2955,2955,2955,2955,angel,3,South Africa,female,0.00011355893708834885,"South Africa, female"
3029,3029,3029,3029,3029,heroine,3,South Africa,female,0.00011355893708834885,"South Africa, female"
3193,3193,3193,3193,3193,cheer,2,South Africa,female,7.570595805889923e-05,"South Africa, female"
3252,3252,3252,3252,3252,penalty,2,South Africa,violence,7.570595805889923e-05,"South Africa, violence"
3267,3267,3267,3267,3267,weapon,2,South Africa,violence,7.570595805889923e-05,"South Africa, violence"
3349,3349,3349,3349,3349,armed,2,South Africa,violence,7.570595805889923e-05,"South Africa, violence"
3412,3412,3412,3412,3412,feeling,2,South Africa,female,7.570595805889923e-05,"South Africa, female"
3459,3459,3459,3459,3459,1st,2,South Africa,empowerment,7.570595805889923e-05,"South Africa, empowerment"
3780,3780,3780,3780,3780,ambition,2,South Africa,male,7.570595805889923e-05,"South Africa, male"
4169,4169,4169,4169,4169,horror,2,South Africa,violence,7.570595805889923e-05,"South Africa, violence"
4195,4195,4195,4195,4195,clever,2,South Africa,empowerment,7.570595805889923e-05,"South Africa, empowerment"
4402,4402,4402,4402,4402,lawsuit,2,South Africa,violence,7.570595805889923e-05,"South Africa, violence"
4420,4420,4420,4420,4420,uncle,2,South Africa,male,7.570595805889923e-05,"South Africa, male"
4645,4645,4645,4645,4645,powerful,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
4706,4706,4706,4706,4706,makeup,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
4789,4789,4789,4789,4789,powerless,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
4821,4821,4821,4821,4821,secretary,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
5055,5055,5055,5055,5055,cooking,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
5222,5222,5222,5222,5222,wealthy,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
5606,5606,5606,5606,5606,emotion,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
5702,5702,5702,5702,5702,sensitive,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
5727,5727,5727,5727,5727,knife,1,South Africa,violence,3.7852979029449615e-05,"South Africa, violence"
6121,6121,6121,6121,6121,badass,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
6149,6149,6149,6149,6149,hostile,1,South Africa,male,3.7852979029449615e-05,"South Africa, male"
6266,6266,6266,6266,6266,thug,1,South Africa,violence,3.7852979029449615e-05,"South Africa, violence"
6648,6648,6648,6648,6648,battery,1,South Africa,violence,3.7852979029449615e-05,"South Africa, violence"
6749,6749,6749,6749,6749,achieve,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
6786,6786,6786,6786,6786,accomplice,1,South Africa,violence,3.7852979029449615e-05,"South Africa, violence"
7106,7106,7106,7106,7106,goal,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
7121,7121,7121,7121,7121,inspiration,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
7498,7498,7498,7498,7498,irrational,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
7513,7513,7513,7513,7513,adorable,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
7543,7543,7543,7543,7543,genius,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
7816,7816,7816,7816,7816,kissing,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
7863,7863,7863,7863,7863,waitress,1,South Africa,female,3.7852979029449615e-05,"South Africa, female"
7968,7968,7968,7968,7968,stallion,1,South Africa,empowerment,3.7852979029449615e-05,"South Africa, empowerment"
